"pid","image_slug","post_id","galleryid","filename","description","alttext","imagedate","exclude","sortorder","meta_data","fullpath"
"1","irvington-walk-003-2","0","1","irvington-walk-003.jpg","test","irvington-walk-003","2010-04-25 11:29:39","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:23:""April 25, 2010 11:29 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:80;s:13:""shutter_speed"";s:8:""1/60 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";s:14:""Irvington Walk"";s:5:""width"";i:1944;s:6:""height"";i:2592;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/test/irvington-walk-003.jpg"
"2","chocolate-bars-on-brownies-2","0","2","img_0551.jpg","Halfway through construction, yes it required nearly six chocolate bars to cover.","Chocolate Bars on Brownies","2011-04-09 18:59:20","0","2","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:8:""iPhone 4"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 9, 2011 6:59 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""3.85 mm"";s:3:""iso"";i:500;s:13:""shutter_speed"";s:8:""1/20 sec"";s:5:""flash"";b:0;s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:1936;s:6:""height"";i:2592;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/brownies/img_0551.jpg"
"3","brownie-mix-2","0","2","img_0554.jpg","I cheated and used brownie Mix this time.","Brownie Mix","2011-04-09 19:05:01","0","1","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:8:""iPhone 4"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 9, 2011 7:05 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""3.85 mm"";s:3:""iso"";i:160;s:13:""shutter_speed"";s:8:""1/20 sec"";s:5:""flash"";b:0;s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:1936;s:6:""height"";i:2592;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/brownies/img_0554.jpg"
"4","mmmmm-soft-toffee-2","0","2","img_0556.jpg","Yeah, this is what\'s on there, had two left over, whatever will I do with them?","mmmmm, soft toffee","2011-04-09 19:05:27","0","3","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:8:""iPhone 4"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 9, 2011 7:05 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""3.85 mm"";s:3:""iso"";i:250;s:13:""shutter_speed"";s:8:""1/20 sec"";s:5:""flash"";b:0;s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:1936;s:6:""height"";i:2592;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/brownies/img_0556.jpg"
"5","gooey-deliciouness-2","0","2","img_0558.jpg","The light bits are the Cadbury\'s chocolate and toffee.","gooey deliciouness","2011-04-09 20:44:01","0","4","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:8:""iPhone 4"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:21:""April 9, 2011 8:44 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""3.85 mm"";s:3:""iso"";i:640;s:13:""shutter_speed"";s:8:""1/20 sec"";s:5:""flash"";b:0;s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:1936;s:6:""height"";i:2592;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/brownies/img_0558.jpg"
"6","5360322356_770a63ce4a_o","0","3","5360322356_770a63ce4a_o.jpg",,"5360322356_770a63ce4a_o","2011-04-09 22:10:41","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:8:""iPhone 4"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 9, 2011 10:10 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""3.85 mm"";s:3:""iso"";i:80;s:13:""shutter_speed"";s:8:""1/20 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:1936;s:6:""height"";i:2592;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/new-tattoo/5360322356_770a63ce4a_o.jpg"
"7","img_0561","0","3","img_0561.jpg",,"img_0561","2011-04-10 07:33:09","0","0","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:8:""iPhone 4"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 10, 2011 7:33 am"";s:9:""copyright"";b:0;s:12:""focal_length"";s:7:""3.85 mm"";s:3:""iso"";i:800;s:13:""shutter_speed"";s:8:""1/20 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:2592;s:6:""height"";i:1936;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/new-tattoo/img_0561.jpg"
"8","grand-haul","0","4","IMG_0002.jpg","All the things we came away with. Not pictured: two swag bags, well used, and a framed print.","Grand haul","2011-04-16 14:08:54","0","1","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 16, 2011 2:08 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:400;s:13:""shutter_speed"";s:8:""1/60 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3264;s:6:""height"";i:1517;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/stumptown-comic-con/IMG_0002.jpg"
"9","girl-genius","0","4","IMG_0003.jpg","The pins are for Corset Inspector and Tesla Rangers. We talked a long time to who must have been Kaja Foglio, who was very nice and personable, although she kept reminding us we could read the whole thing online. (You can read the whole series here): http://www.girlgeniusonline.com/","Girl Genius","2011-04-16 14:11:55","0","11","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 16, 2011 2:11 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:640;s:13:""shutter_speed"";s:8:""1/60 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:3264;s:6:""height"";i:2448;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/stumptown-comic-con/IMG_0003.jpg"
"10","battle-pug","0","4","IMG_0008.jpg","Completely out of money by the time we got to this booth, but I picked up a card because I liked the concept: http://battlepug.com/","Battle Pug","2011-04-16 14:14:42","0","16","a:17:{i:0;b:0;s:8:""aperture"";s:5:""F 2.8"";s:6:""credit"";b:0;s:6:""camera"";s:23:""Canon PowerShot A720 IS"";s:7:""caption"";b:0;s:17:""created_timestamp"";s:22:""April 16, 2011 2:14 pm"";s:9:""copyright"";b:0;s:12:""focal_length"";s:6:""5.8 mm"";s:3:""iso"";i:800;s:13:""shutter_speed"";s:8:""1/60 sec"";s:5:""flash"";s:9:""Not fired"";s:5:""title"";b:0;s:8:""keywords"";b:0;s:5:""width"";i:1720;s:6:""height"";i:2407;s:5:""saved"";b:1;s:9:""thumbnail"";a:2:{s:5:""width"";i:100;s:6:""height"";i:75;}}","sites/default/files/wp-content/gallery/stumptown-comic-con/IMG_0008.jpg"
